ID;long;lat;tipo;Mg;Ca;Na;K;HCO3;Cl;SO4
M-0053;-73.5691;6.9406;Aljibe;0.09;0.2105;0.076956522;0.01974359;0.134918033;0.081690141;0.1875
M-25956;-73.5691;6.9406;Aljibe;0.09;0.2105;0.076956522;0.01974359;0.134918033;0.081690141;0.1875
M-0009;-73.5167;8.1831;Aljibe;0.62;0.852245;0.6181;0.064528205;1.68852459;0.332394366;0.258333333
M-246080;-73.4563;7.3095;Pozo;0.02;0.049;0.110434783;0.002564103;0.131147541;0.028169014;0.010416667
M-249670;-73.4093;7.7906;Pozo;0.04;0.07;0.026086957;0.01025641;0.032786885;0.084507042;0.020833333
M-0056;-73.7323;6.6837;Manantial;0.39;0.6435;0.434782609;0.107948718;0.285245902;0.107887324;1.322916667
M-25959;-73.7323;6.6837;Manantial;0.39;0.6435;0.434782609;0.107948718;0.285245902;0.107887324;1.322916667
M-241300;-73.8085;7.2908;Aljibe;0.04;0.0575;0.226521739;0.091794872;0.091803279;0.245070423;0.104166667
M-247400;-73.6208;7.5361;Pozo;1.19;0.985;0.508695652;0.170512821;2.521311475;0.036619718;0.104166667
M-257470;-74.5854;6.1024;Pozo;0.09;0.09;2.695652174;0.58974359;0.032786885;2.394366197;1.291666667
M-3069;-73.6579;7.9747;Aljibe;0.07;0.105;0.030434783;0.202564103;0.262295082;0.14084507;0.041666667
M-0032;-73.8752;7.205;Pozo;0.45;0.705;1.534782609;0.054615385;2.721311475;0.14084507;0.112916667
M-26529;-73.4503;7.3267;Pozo de monitoreo;1.35;1.15;2.7;0.080512821;4.278688525;0.278873239;0.341666667
